timestamp,type,price,executionId
1.649088059853e+18,READ,3.05e-05,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088059893e+18,WRITE,0.0001525,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088059913e+18,READ,3.05e-05,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088059933e+18,WRITE,0.0001525,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088059973e+18,READ,3.05e-05,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060013e+18,WRITE,0.0001525,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060053e+18,READ,3.05e-05,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060073e+18,WRITE,0.0001525,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060113e+18,READ,3.05e-05,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060153e+18,WRITE,0.0001525,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060193e+18,READ,3.05e-05,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060233e+18,WRITE,0.0001525,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060293e+18,READ,3.05e-05,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060313e+18,WRITE,0.0001525,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060353e+18,READ,3.05e-05,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060393e+18,WRITE,0.0001525,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060433e+18,READ,3.05e-05,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060473e+18,WRITE,0.0001525,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060512e+24,INVOCATION,2e-05,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088060512e+24,TIME,0.00029694,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088069296e+18,READ,3.05e-05,8ce67d2c-1d4d-4aad-8eb3-e9e48bf96c1c
1.649088069456e+18,WRITE,0.0001525,8ce67d2c-1d4d-4aad-8eb3-e9e48bf96c1c
1.649088069573e+18,READ,3.05e-05,8ce67d2c-1d4d-4aad-8eb3-e9e48bf96c1c
