exp_id,results_dir,dummy,config_id,benchmark,source,engine,kafkas,cloud,vmtype,instances,max_resources,load,resources,cluster_fee,vm_cost,fs_write_cost,fs_read_cost,pubsub_cost,total_cost
1,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,2,4.0,500,3,0.1,0.46,0.0,0.0,0.03000224,0.59000224
1,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,2,4.0,600,4,0.1,0.46,0.0,0.0,0.030002688,0.590002688
1,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,2,4.0,700,4,0.1,0.46,0.0,0.0,0.030003136,0.5900031360000001
1,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,2,4.0,800,4,0.1,0.46,0.0,0.0,0.030003584,0.5900035840000001
2,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,3,8.0,900,5,0.1,0.6900000000000001,0.0,0.0,0.030004032,0.820004032
2,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,3,8.0,1000,7,0.1,0.6900000000000001,0.0,0.0,0.03000448,0.82000448
2,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,3,8.0,1100,7,0.1,0.6900000000000001,0.0,0.0,0.030004928,0.820004928
4,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,4,,1200,7,0.1,0.92,0.0,0.0,0.030005376,1.050005376
52,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,2,3.0,0,2,0.1,0.345336,0.0,0.0,0.0,0.44533599999999995
52,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,2,3.0,100,2,0.1,0.345336,0.0,0.0,0.03000056,0.47533655999999996
52,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,2,3.0,200,2,0.1,0.345336,0.0,0.0,0.03000112,0.47533711999999995
52,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,2,3.0,300,2,0.1,0.345336,0.0,0.0,0.03000168,0.47533767999999993
52,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,2,3.0,400,3,0.1,0.345336,0.0,0.0,0.03000224,0.47533823999999997
52,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,2,3.0,500,3,0.1,0.345336,0.0,0.0,0.0300028,0.47533879999999995
49,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,3,7.0,600,4,0.1,0.5180039999999999,0.0,0.0,0.03000336,0.6480073599999999
